method,seed,run_id,wikitext2_ppl,train_ppl,final_calibration_kl,active_parameter_ratio,average_bitwidth_active,average_bitwidth_total,estimated_weight_memory_mb,estimated_compression_ratio,dropped_attention_count,dropped_mlp_count,runtime_seconds,peak_cpu_memory_mb,peak_gpu_device_used_mb,best_generation,accepted_generations
dense,0,thesis_medium_dense_mistral_seq1024_seed0,5.96,,,1.0,,16.0,13824.5078125,1.0,,,100.0,,,,
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,11.8046875,12.15625,0.68505859375,0.7592681023341133,,12.148289637345814,10496.5078125,1.31705783098992,8,8,572.0,16384.0,14663.68,20,13
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,12.4453125,11.71875,0.69921875,0.7592681023341133,,12.148289637345814,10496.5078125,1.31705783098992,8,8,575.0,16384.0,14663.68,19,12
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,11.203125,10.0390625,0.60791015625,0.7592681023341133,,12.148289637345814,10496.5078125,1.31705783098992,8,8,577.0,16384.0,14663.68,17,14
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,5.9375,6.16796875,0.005687713623046875,1.0,3.0,15.037072409336453,12992.5078125,1.0640369058850623,0,0,788.0,16384.0,14663.68,18,3
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,5.9375,6.0078125,0.00499725341796875,1.0,3.0,15.037072409336453,12992.5078125,1.0640369058850623,0,0,788.0,16384.0,14663.68,1,4
quant,2,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed2,5.9375,5.33203125,0.005023956298828125,1.0,3.0,15.037072409336453,12992.5078125,1.0640369058850623,0,0,791.0,16384.0,14663.68,17,4
joint,0,thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed0,13.3828125,13.5078125,0.7939453125,0.7592681023341133,3.0,11.426093944348155,9872.5078125,1.400303557622533,8,8,609.0,16384.0,14663.68,20,18
joint,1,thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed1,12.28125,11.921875,0.69921875,0.7592681023341133,3.0,11.426093944348155,9872.5078125,1.400303557622533,8,8,611.0,16384.0,14663.68,20,19
joint,2,thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed2,12.15625,11.1171875,0.712890625,0.7592681023341133,3.0,11.426093944348155,9872.5078125,1.400303557622533,8,8,607.0,16384.0,14663.68,20,19
